/Library/Python/2.7/site-packages/tensorflow/python/ops/gradients_impl.py:93: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2017-07-20 18:39:28.510923: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510950: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510958: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510964: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
train: (0.029026557, (0.84525859, 0.84559274)) test: SKIP
train: (0.050459404, (0.84559274, 0.84591162)) test: SKIP
train: (0.084445551, (0.84591162, 0.8462041)) test: SKIP
train: (0.11351275, (0.8462041, 0.84649128)) test: SKIP
train: (0.070012227, (0.84649128, 0.84679604)) test: SKIP
train: (0.10649532, (0.84679604, 0.84707779)) test: (0.96221554, (0.84707779, 0.8441385))
train: (0.030809205, (0.8441385, 0.84445733)) test: SKIP
train: (0.15142885, (0.84445733, 0.84470886)) test: SKIP
train: (0.04812669, (0.84470886, 0.84500849)) test: SKIP
train: (0.034142844, (0.84500849, 0.8453182)) test: SKIP
train: (0.020951826, (0.8453182, 0.84563923)) test: SKIP
train: (0.21011217, (0.84563923, 0.84586447)) test: SKIP
train: (0.083371565, (0.84586447, 0.84614617)) test: SKIP
train: (0.1281008, (0.84614617, 0.84639072)) test: SKIP
train: (0.11048837, (0.84639072, 0.84664434)) test: SKIP
train: (0.10803178, (0.84664434, 0.84689671)) test: SKIP
train: (0.13870618, (0.84689671, 0.84712863)) test: SKIP
train: (0.14979106, (0.84712863, 0.84735316)) test: SKIP
train: (0.11408859, (0.84735316, 0.84760827)) test: SKIP
train: (0.14723793, (0.84760827, 0.84783107)) test: SKIP
train: (0.17363268, (0.84783107, 0.84804142)) test: SKIP
train: (0.17435767, (0.84804142, 0.84824216)) test: SKIP
train: (0.13492519, (0.84824216, 0.8484751)) test: SKIP
train: (0.10965358, (0.8484751, 0.84873176)) test: SKIP
train: (0.208278, (0.84873176, 0.84890264)) test: SKIP
train: (0.1155006, (0.84890264, 0.84914678)) test: (0.58536494, (0.84914678, 0.84816307))
train: (0.15935321, (0.84816307, 0.84836656)) test: SKIP
train: (0.073902488, (0.84836656, 0.84863085)) test: SKIP
train: (0.13915227, (0.84863085, 0.8488645)) test: SKIP
train: (0.090803072, (0.8488645, 0.84911722)) test: SKIP
train: (0.074067637, (0.84911722, 0.84937817)) test: SKIP
train: (0.13641089, (0.84937817, 0.84958982)) test: SKIP
